A1_Rep1	A1_Rep2	A1_Rep3	A2-3_Rep1	A2-3_Rep2	A2-3_Rep3	Cu_Rep1	Cu_Rep2	Cu_Rep3	LFC-Fe_Rep1	LFC-Fe_Rep2	LFC-Fe_Rep3	Fe_Rep1	Fe_Rep2	Fe_Rep3	P1_Rep1	P1_Rep2	P1_Rep3	P2-4_Rep1	P2-4_Rep2	P2-4_Rep3
FBgn0000003	9.69807977473864	4.64383539498032	10.2452518556557	10.1147446565626	4.64383539498032	8.93520505240887	4.64383539498032	4.64383539498032	9.11950776186998	4.64383539498032	11.0269794948912	8.43787999726308	13.2564451179467	11.1998502309832	9.21342645686817	8.63518343631604	8.40305578601636	4.64383539498032	4.64383539498032	10.8994513012931	8.09031440111734
FBgn0000008	7.47614062533339	7.3436410073697	7.82080177010876	7.477619099391	8.13088966403686	7.4251389241346	7.0076002706521	7.06343054544582	6.73492860699548	7.98956857099093	8.01021898024921	7.26130167444659	8.04274112066247	7.90495142812153	8.10322401867597	8.25606123743976	8.07915324077791	8.15041648018	6.71156508520138	7.1763082733959	6.89659593125287
FBgn0000014	5.21619638995522	4.64383539498032	5.01414408563587	5.49804561373619	5.60958596308269	5.63394447239329	6.34401309888631	6.42226111070874	6.23935348418585	6.50681994269473	6.82555256360699	6.76678777597918	7.1939989323758	6.56785238796788	6.9162921518703	5.49967670295695	6.3756890739299	6.2894134975	5.45207787070782	6.16779700810664	6.39021337423599
FBgn0000015	5.04987373098735	5.85270290789573	5.01414408563587	5.57695431065278	5.60958596308269	5.14612195698761	5.22101739214017	5.17982733909779	5.30000879098945	5.62253503807504	5.17648461906995	4.64383539498032	5.46839058622607	4.85600148097584	4.87035224850693	5.28005723407233	4.88696068858105	4.92880902290203	5.86588716561209	6.26612745888959	5.88990331690663
FBgn0000017	9.73570215824438	9.23464910193535	9.06984165156425	9.02686000144149	9.73884479076642	9.4805728928998	9.90583654935794	9.84854918501776	9.9197333516112	9.71400160548808	9.44158316436942	9.6109502175567	9.48424261598427	9.41420473910947	9.32616257406803	9.59906433874148	9.20756851690806	9.69043814289719	8.81559722876443	8.4899923185322	9.29183260570901
FBgn0000018	9.32429160206118	8.27607289204493	8.63012188311782	8.18727312186737	10.9103031134977	8.4309126919344	8.19773809871497	8.62623174435428	8.35620683814426	8.18150444870173	9.97662538466635	8.24635745887075	7.44607508254314	8.28185289034356	8.11623203980051	8.43936964047598	8.23150520283187	7.88098355784832	8.63007334303309	9.42023741273881	8.11220820720053
FBgn0000024	11.0785921398696	11.137465730923	10.8363232665918	10.4964221118171	10.6441945317854	10.5775014096354	7.00286711959011	6.26233560865907	6.51181716345434	8.7687924696837	8.17543348528799	8.00918963410818	8.33480560531311	8.98120766230179	9.22689473318923	7.97108103766684	9.29038149881374	9.20722638890796	8.7506556813834	8.67675815875807	9.67004192070921
FBgn0000028	5.54027333880091	5.43715254379412	5.46309347061794	5.49804561373619	4.9908535619109	5.14612195698761	4.90333396158325	5.33320730392077	5.19974990919153	5.1740720594013	5.62687226701814	5.12529823181501	5.79507962124668	5.20218883066256	5.1482891483296	5.22539597610253	5.4754804196769	5.53235766447768	5.33551271994455	5.11575480711855	5.09635158894219
FBgn0000032	9.53303412631277	9.84886923087897	9.64882834842284	9.63396999257615	9.14542857091671	9.31687217049405	9.98768234979839	9.83389872129147	9.90283047162478	10.0710133679215	9.809244383283	10.074077957618	9.34206003345405	10.2698565434295	10.3443773517743	9.71680061630836	9.79728422445473	9.90900098315147	9.44666035009112	9.838682091301	9.91098798646019
FBgn0000037	5.8927215163853	5.43715254379412	4.64383539498032	5.6489291557913	5.41253807580174	5.55052423493918	5.30063501172499	5.33320730392077	5.59533642070419	5.62253503807504	5.55637138769088	5.23215970273374	4.64383539498032	5.27584161108874	5.23951800508542	5.33012635645672	5.40472572920356	5.1748370362402	4.89042880502493	5.2513031026627	5.57351956737472
FBgn0000038	6.66758819699559	7.41241768435874	5.46309347061794	7.56426502238049	6.85573029974222	6.43733841171588	6.14506377546949	6.96916454036021	7.12381664257341	7.48954055293298	6.91462248107623	6.89757500563309	7.25641669655687	6.39732161623847	6.51294317275839	7.30418615059685	6.7980370494313	6.36721495265308	6.73276294366028	7.14827153022298	7.29255779730746
FBgn0000042	16.7739930634081	16.6091227427553	17.0931543796667	17.3861762862681	17.1567223104842	17.1259845494855	17.2617936326157	17.3967963374237	17.3144945233818	17.0924644283776	17.0727557324006	16.5716062669787	17.47732054175	16.8826055089175	16.6940588991272	17.2406490984809	17.307619436043	16.6130656021531	17.6688395928026	17.8186837520646	16.9529368343307
FBgn0000043	12.3571517045608	12.7772953060729	13.0735428596727	13.2138530870171	12.9229491699767	12.804039280852	13.0844674515444	13.3694860985567	12.6292859993851	13.7544452517406	13.8899482568119	13.1993333872351	14.5264588548933	13.5062218930965	13.2611913571976	14.3891970703413	13.9275870254172	13.3288208476048	14.6707178520066	14.909107567237	13.1153299506972
FBgn0000044	10.6370412830369	9.28579627904758	9.99652770283014	10.6758795360145	10.4923129676069	10.3617005599482	11.5234979510936	11.6425457403059	11.5632934201673	11.5866532475872	11.9939854072844	11.1836305844637	10.2427432558281	11.0207286445743	11.3621570853878	9.09563543873022	10.0302885641808	9.87329431487268	9.83372569954241	12.1236646249725	10.6743573138099
FBgn0000045	7.91144206617369	7.11381304419327	7.29442754579092	6.86834620719652	8.05341052724619	7.3533001010929	6.34401309888631	6.21235072006218	5.73626894883376	6.28221447137452	6.17761510850678	6.05769008558734	5.86113780069818	6.22245772528055	6.31908756243113	6.6399917249427	6.08381248086543	6.16205084893366	7.33822790912407	6.76873587052549	6.43614220322063
FBgn0000046	7.77193808108811	6.85702448298746	7.29442754579092	8.3647037628676	8.40442908861412	8.41365697102003	9.30961783459524	9.34038892612541	9.64401029668366	9.06931450314056	9.93910415619718	9.0151142637574	8.770340596629	9.00274595298319	9.18916679032919	7.70329229725089	8.69944202377977	8.52282990746837	8.50132078209228	10.1106266599896	9.21552424518659
